axis_surface,axis_compose,cond,surface,acc,acc_ci_lo,acc_ci_hi,corr,parse_fail
spaces,inside_bracket,C4,( B * C ) =,0.89,0.8555,0.9170,0.960359,0
spaces,outer_compose,C1,( 0 + B ) * C =,0.5075,0.4587,0.5562,0.0604157,0
nospace,inside_bracket,C8,(B*C)=,0.765,0.7210,0.8039,0.994228,0
nospace,outer_compose,C7,(0+B)*C=,0.0175,0.0085,0.0357,-0.052901,0
# verdict,COMPOSE_SPECIFIC,,,,,,,
# headline,"ONE headline: collapse is compose-specific. No-space inside-bracket (B*C)= survives, so C7's collapse is NOT a clean second axis — fold surface fragility into the composition story.",,,,,,,
# new_cell_C8_acc,0.7650  (C7=0.0175, C4=0.8900, survive>=0.7, collapse<=C7+0.15),,,,
