tag,site,condition,layer,mean_delta,ci_lo,ci_hi,flip_rate,n
base,equals,shuffled,12,0.000625,-0.0075,0.00875,1,200
base,equals,shuffled,14,0.001875,-0.005625,0.009375,1,200
base,equals,shuffled,16,0,-0.0075,0.0075,1,200
base,equals,shuffled,18,0.000625,-0.0075,0.00875,1,200
base,equals,shuffled,20,-0.0025,-0.01,0.005,1,200
base,equals,shuffled,22,0.001875,-0.00625,0.01,1,200
base,equals,shuffled,24,0.000625,-0.0075,0.00875,1,200
base,equals,shuffled,26,0.003125,-0.005,0.010625,1,200
base,equals,shuffled,28,0.0025,-0.005625,0.010625,1,200
base,equals,shuffled,30,0.00625,-0.00125,0.01375,1,200
base,equals,shuffled,31,-0.000625,-0.009375,0.008125,1,200
base,c4_ref,inject,0,-0.010625,-0.019375,-0.001875,1,200
base,c4_ref,inject,2,-0.0075,-0.01625,0.00125,1,200
base,c4_ref,inject,4,-0.008125,-0.016875,0,1,200
base,c4_ref,inject,6,-0.0075,-0.01625,0.00125,1,200
base,c4_ref,inject,8,-0.00875,-0.016875,-0.000625,1,200
base,c4_ref,inject,10,-0.010625,-0.019375,-0.001875,1,200
base,c4_ref,inject,12,-0.00875,-0.0175,0,1,200
base,c4_ref,inject,14,-0.0125,-0.020625,-0.004375,1,200
base,c4_ref,inject,16,-0.01125,-0.021875,-0.000625,1,200
base,c4_ref,inject,18,-0.015625,-0.025625,-0.005625,1,200
base,c4_ref,inject,20,-0.009375,-0.01875,0,1,200
base,c4_ref,inject,22,-0.01375,-0.0225,-0.005,1,200
base,c4_ref,inject,24,-0.013125,-0.02125,-0.005,1,200
base,c4_ref,inject,26,-0.015625,-0.025,-0.00625,1,200
base,c4_ref,inject,28,-0.00875,-0.0181406,0.00125,1,200
base,c4_ref,inject,30,-0.010625,-0.020625,0,1,200
base,c4_ref,inject,31,-0.004375,-0.026875,0.0175,1,200
base,rparen,erase,2,0.004375,-0.004375,0.013125,1,200
base,equals,erase,6,-0.0025,-0.01125,0.005625,1,200
instruct,rparen,inject,0,0.008125,-0.000625,0.0175,0.755,200
instruct,rparen,inject,2,0.00375,-0.005,0.0125,0.735,200
instruct,rparen,inject,4,0.003125,-0.005625,0.011875,0.75,200
instruct,rparen,inject,6,0.00375,-0.00501563,0.0125,0.745,200
instruct,rparen,inject,8,-0.000625,-0.00875,0.0075,0.74,200
instruct,rparen,inject,10,0.006875,-0.00125,0.015,0.74,200
instruct,rparen,inject,12,0.000625,-0.008125,0.009375,0.71,200
instruct,rparen,inject,14,0.0075,-0.00125,0.01625,0.735,200
instruct,rparen,inject,16,0.000625,-0.0075,0.00875,0.745,200
instruct,rparen,inject,18,0.004375,-0.004375,0.01375,0.73,200
instruct,rparen,inject,20,0.0075,-0.000625,0.015625,0.755,200
instruct,rparen,inject,22,0.00625,-0.00125,0.01375,0.76,200
instruct,rparen,inject,24,0.01,0.00125,0.01875,0.76,200
instruct,rparen,inject,26,0.005,-0.00375,0.01375,0.765,200
instruct,rparen,inject,28,0,-0.008125,0.008125,0.735,200
instruct,rparen,inject,30,0.0025,-0.00375,0.00875,0.75,200
