tag,shots,ctrl_acc,d0_zeroshot,dr_real_fewshot,dc_control,context_share,verdict
base,4,0.2525,0.919236,0.636376,0.653467,0.939577,R2 DILUTION — drop happens WITHOUT repair => context-length artifact; DEMOTE
instruct,4,0.63,0.987422,0.591498,0.582109,1.02372,INVALID control — wrong demos still repaired (acc=0.63); use random-text demos
